company_name,hq_country,sector,platforms,year_founded,company_age_years,company_size,market_reach,primary_genres,monetization_model,ownership_type,esports_involvement,estimated_revenue_range,revenue_trend
"Activision Publishing, Inc.",United States,Game Development & Publishing,"Mobile,PC,Console",1979,47,Enterprise,Global,"FPS,Action,RPG","Purchase,Premium",Subsidiary,Yes,$500M+,Stable
Ubisoft Mobile Games,France,Game Development & Publishing,Mobile,1986,40,Enterprise,Global,"Action,RPG,Strategy","Free,Purchase,Premium",Subsidiary,No,$500M+,Stable
"Take-Two Interactive Software, Inc.",United States,Game Development & Publishing,"Mobile,PC,Console",1993,33,Enterprise,Global,"Action,RPG,Sports","Purchase,Premium",Public,Yes,$500M+,Stable
Gameloft Se,France,Game Development & Publishing,"Mobile,PC,Console",1999,27,Enterprise,Global,"Action,Racing,RPG,Casual","Free,Purchase,Premium",Subsidiary,No,$500M+,Stable
Netmarble,South Korea,Game Development & Publishing,"Mobile,PC",2000,26,Enterprise,Global,"RPG,Strategy,Action","Free,Purchase,Premium",Public,Yes,$500M+,Stable
Roblox Corporation,United States,Game Development & Publishing,"Mobile,PC,Console",2004,22,Enterprise,Global,"Platform,Social","Free,Premium,Subscription",Public,No,$500M+,Growing
Krafton Inc,South Korea,Game Development & Publishing,"Mobile,PC,Console",2007,19,Enterprise,Global,"Battle Royale,RPG","Free,Purchase,Premium",Public,Yes,$500M+,Growing
Miniclip Sa,Switzerland,Game Development & Publishing,"Mobile,PC",2001,25,Large,Global,"Action,Sports,Casual","Free,Purchase,Premium",Subsidiary,No,$50M-$500M (Estimated),Stable
Rovio Entertainment Oy,Finland,Game Development & Publishing,Mobile,2003,23,Large,Global,"Casual,Puzzle","Free,Premium,Ads",Subsidiary,No,$50M-$500M (Estimated),Stable
Igg.Com,Singapore,Game Development & Publishing,"Mobile,PC",2006,20,Large,Global,"Strategy,RPG","Free,Purchase,Premium",Private,No,$50M-$500M (Estimated),Stable
Boombit Games,Poland,Game Development & Publishing,Mobile,2009,17,Large,International,"Casual,Hypercasual","Free,Premium,Ads",Public,No,$50M-$500M (Estimated),Stable
Supercell Oy,Finland,Game Development & Publishing,Mobile,2010,16,Large,Global,Strategy,"Free,Purchase,Premium",Subsidiary,Yes,$50M-$500M (Estimated),Stable
Funplus International Ag,Switzerland,Game Development & Publishing,Mobile,2010,16,Large,Global,"Strategy,RPG","Free,Purchase,Premium",Private,No,$50M-$500M (Estimated),Stable
"Scopely, Inc.",United States,Game Development & Publishing,Mobile,2011,15,Large,Global,"Strategy,RPG,Casual","Free,Purchase,Premium",Private,No,$50M-$500M (Estimated),Growing
Playway S.A.,Poland,Game Development & Publishing,"Mobile,PC,Console",2011,15,Large,International,"Simulation,Strategy","Purchase,Premium",Public,No,$50M-$500M (Estimated),Stable
Ten Square Games S.A.,Poland,Game Development & Publishing,Mobile,2011,15,Large,International,"Strategy,Casual","Free,Purchase,Premium",Public,No,$50M-$500M (Estimated),Stable
Voodoo,France,Game Development & Publishing,Mobile,2013,13,Large,Global,"Hypercasual,Casual","Free,Premium,Ads",Private,No,$50M-$500M (Estimated),Growing
Hk Kuro Games Limited,Hong Kong,Game Development & Publishing,"Mobile,PC,Console",2014,12,Large,Global,"RPG,Action","Free,Purchase,Premium",Private,No,$50M-$500M (Estimated),Growing
Amanotes Pte. Ltd.,Singapore,Game Development & Publishing,Mobile,2014,12,Large,Global,"Music,Casual","Free,Premium,Ads",Private,No,$50M-$500M (Estimated),Stable
Supersonic Studios Ltd,Israel,Game Development & Publishing,Mobile,2014,12,Large,Global,"Hypercasual,Casual","Free,Premium,Ads",Subsidiary,No,$50M-$500M (Estimated),Stable
Madbox,France,Game Development & Publishing,Mobile,2016,10,Large,Global,"Hypercasual,Arcade","Free,Premium,Ads",Private,No,$50M-$500M (Estimated),Stable
Homa Games,France,Game Development & Publishing,Mobile,2018,8,Large,Global,"Hypercasual,Casual","Free,Premium,Ads",Private,No,$50M-$500M (Estimated),Growing
Astragon Entertainment Gmbh,Germany,Game Development & Publishing,"PC,Console",1997,29,Medium,International,Simulation,"Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Nekki Limited,Cyprus,Game Development & Publishing,Mobile,2002,24,Medium,Global,Action,Free,Private,No,<$50M (Estimated),Unknown
Mobirix,South Korea,Game Development,Mobile,2004,22,Medium,International,"Action,RPG,Casual","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
"Kabam Games, Inc",Canada,Game Development & Publishing,Mobile,2006,20,Medium,Global,"Action,RPG","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Plr Worldwide Sales Limited,United Kingdom,Game Development & Publishing,"Mobile,Console",2006,20,Medium,International,"Casual,Puzzle","Purchase,Premium",Private,No,<$50M (Estimated),Unknown
"Chess.Com, Llc",United States,Game Development & Publishing,"Mobile,PC",2007,19,Medium,Global,Strategy,"Free,Premium",Private,Yes,<$50M (Estimated),Unknown
